Location,Location_Type,Year,Month,Price_Studio,Price_1br,Price_2br,Price_3br,Price_4br,Price_Change_MoM,Price_Change_YoY
"National","National",2020,1,840,962,1193,1603,1867,0,1.6
"Alabama","State",2020,1,627,682,829,1107,1288,.2,2.5
"Alaska","State",2020,1,814,931,1190,1682,2019,.1,0
"Arizona","State",2020,1,737,871,1100,1590,1845,.2,3.6
"Arkansas","State",2020,1,530,577,729,988,1157,.1,.9
"California","State",2020,1,1235,1453,1853,2567,2982,.1,1.3
"Colorado","State",2020,1,886,1043,1322,1905,2233,-.1,1.6
"Connecticut","State",2020,1,902,1080,1352,1718,1986,0,1.2
"Delaware","State",2020,1,888,1024,1248,1647,1871,0,3.2
"District of Columbia","State",2020,1,1430,1502,1734,2284,2835,.1,1.8
"Florida","State",2020,1,847,983,1226,1660,1994,.1,1.5
"Georgia","State",2020,1,832,881,1040,1380,1676,0,1.5
"Idaho","State",2020,1,580,660,854,1200,1459,0,1.8
"Illinois","State",2020,1,790,911,1093,1406,1664,0,1
"Indiana","State",2020,1,568,661,831,1093,1235,.1,1.6
"Iowa","State",2020,1,522,605,773,1038,1161,0,.6
"Kansas","State",2020,1,571,670,859,1164,1342,.2,1.6
"Kentucky","State",2020,1,539,605,770,1050,1210,.1,.7
"Louisiana","State",2020,1,594,683,829,1073,1255,.1,-.8
"Maine","State",2020,1,706,775,963,1268,1417,0,1.2
"Maryland","State",2020,1,1122,1260,1518,1979,2395,-.1,1.1
"Massachusetts","State",2020,1,1150,1317,1637,2055,2285,-.1,2.1
"Michigan","State",2020,1,611,724,926,1240,1365,0,1.1
"Minnesota","State",2020,1,706,857,1090,1513,1771,0,1.4
"Mississippi","State",2020,1,584,663,808,1067,1207,.1,.7
"Missouri","State",2020,1,576,664,849,1147,1316,0,.9
"Montana","State",2020,1,558,622,790,1102,1316,0,1.2
"Nebraska","State",2020,1,538,656,839,1129,1270,.1,1.3
"Nevada","State",2020,1,742,904,1135,1648,1982,0,2.5
"New Hampshire","State",2020,1,934,1049,1338,1760,1969,.1,2.1
"New Jersey","State",2020,1,1098,1258,1544,1996,2305,0,1.1
"New Mexico","State",2020,1,578,678,835,1164,1378,0,1.5
"New York","State",2020,1,1171,1294,1540,1979,2179,-.1,1.2
"North Carolina","State",2020,1,711,771,927,1248,1505,0,2.5
"North Dakota","State",2020,1,532,583,750,1054,1209,0,2.4
"Ohio","State",2020,1,574,665,854,1132,1268,0,1.3
"Oklahoma","State",2020,1,534,602,773,1048,1219,.1,1
"Oregon","State",2020,1,875,984,1207,1750,2101,0,1.2
"Pennsylvania","State",2020,1,713,828,1025,1304,1435,0,.9
"Rhode Island","State",2020,1,857,971,1175,1490,1785,.1,1
"South Carolina","State",2020,1,684,779,934,1241,1497,0,1.5
"South Dakota","State",2020,1,488,566,725,989,1123,0,.2
"Tennessee","State",2020,1,627,708,874,1166,1372,.1,2.2
